CLASE;TIEMPO
U_ENTRANTES;107,272423
U_SALIENTES;49,024158
U_ENTRANTES;74,007057
U_ENTRANTES;45,500389
U_SALIENTES;23,974491
U_ENTRANTES;93,797340
U_SALIENTES;43,867802
U_ENTRANTES;44,681618
U_ENTRANTES;71,327362
U_ENTRANTES;56,991371
U_SALIENTES;20,851784
U_ENTRANTES;115,783249
U_ENTRANTES;85,566292
U_ENTRANTES;36,584698
U_ENTRANTES;69,237686
U_ENTRANTES;67,252693
U_ENTRANTES;48,618343
U_SALIENTES;27,640329
U_ENTRANTES;55,673500
U_ENTRANTES;76,082222
U_ENTRANTES;63,683178
U_ENTRANTES;60,055958
U_SALIENTES;45,027847
U_ENTRANTES;57,504856
U_SALIENTES;48,037804
U_ENTRANTES;46,478428
U_SALIENTES;15,556315
TRIPULACION;36,754307
U_SALIENTES;17,282671
U_ENTRANTES;43,687824
U_ENTRANTES;66,222183
U_ENTRANTES;65,059738
U_SALIENTES;20,573664
U_SALIENTES;43,492367
U_ENTRANTES;55,318314
U_SALIENTES;70,669754
U_SALIENTES;31,985767
U_SALIENTES;27,858004
U_ENTRANTES;44,030937
U_ENTRANTES;47,572231
U_SALIENTES;27,164055
U_SALIENTES;38,741005
U_SALIENTES;36,806221
U_SALIENTES;55,232124
U_SALIENTES;20,103777
U_SALIENTES;25,416513
U_SALIENTES;22,832800
U_ENTRANTES;57,203625
U_ENTRANTES;74,043106
U_ENTRANTES;68,135307
U_ENTRANTES;82,683472
U_ENTRANTES;41,351189
U_SALIENTES;41,449478
U_SALIENTES;51,915974
U_SALIENTES;23,203129
U_ENTRANTES;41,486279
U_ENTRANTES;75,058983
U_ENTRANTES;74,603783
U_ENTRANTES;89,553444
U_ENTRANTES;58,399815
OPERARIOS;61,926781
U_ENTRANTES;50,186073
U_SALIENTES;42,154942
U_ENTRANTES;74,642891
U_SALIENTES;55,263020
U_SALIENTES;43,201488
U_SALIENTES;31,426420
U_SALIENTES;56,960361
U_ENTRANTES;49,575874
U_SALIENTES;24,624838
U_ENTRANTES;64,565895
U_SALIENTES;29,852922
